latitude,longitude,altitude,geometry,coordinates,@id,name,ref:FFVL,free_flying:hanggliding,free_flying:paragliding,free_flying:site,leisure,sport,surface,type,website,landuse,note,access,ele,free_flying:official,free_flying:site_orientation,lit,network,operator,ref,source,free_flying:tandem,free_flying:network,natural,alt_name,wheelchair,building,building:levels,free_flying:retail,free_flying:school,club,phone,free_flying:rigid,area,aircraft,contact:website,source:date,free_flying:guest-guidelines,free_flying:no-flight-time,description,intermittent,inscription,fixme,crop,free_flying:ground_handling,name:en,free_flying,free_flying:orientation,free_flying:club,orientation,covered,fee,indoor,source:website,aeroway,mapillary,aircraft:type,aircraft:type2,length,width,abandoned:leisure,official_name,local_ref,free_flying:shop,shop,opening_hours:signed,description:it,operator:website,tourism,addr:city,addr:housenumber,addr:postcode,addr:street,opening_hours,fixme2,board_type,check_date,information,communication:radio,frequency,height,man_made,tower:construction,tower:type,contact:webcam,display:digital,monitoring:weather,recording:automated,recording:remote,weather:anemometer,weather:thermometer,weather:wind_vane,amenity,email,fax,free_flying:repair,ref:FR:SIRET,contact:facebook
,,,Polygon,"6.9227085,46.386613,6.9227463,46.3865884,6.9228645,46.3866132,6.9231759,46.3866482,6.92337,46.38667,6.9236327,46.3866995,6.9238522,46.3867241,6.9239645,46.3867367,6.9240024,46.386758,6.9239952,46.3867884,6.923974,46.386878,6.9239755,46.3869436,6.9239578,46.3869945,6.9239514,46.3870447,6.9239448,46.3870961,6.9239302,46.3871374,6.9239151,46.3871801,6.9239197,46.3872728,6.9238775,46.3873463,6.9238578,46.3874176,6.9238321,46.3875103,6.9238222,46.3875321,6.9237898,46.3875676,6.9237566,46.387604,6.9237395,46.3876495,6.9237105,46.3877,6.9236417,46.3877205,6.9235656,46.3877432,6.9234666,46.3877353,6.9233625,46.3877269,6.92329,46.3877373,6.9232052,46.387728,6.923053,46.3877236,6.9228807,46.3877186,6.9227373,46.3877144,6.9226581,46.3876876,6.922664,46.3876345,6.9226877,46.3875713,6.9226936,46.3874897,6.9226788,46.3873938,6.9226877,46.3873102,6.9226965,46.3872684,6.9227084,46.3871959,6.922732,46.3871225,6.9227246,46.3870103,6.9227705,46.3869165,6.922769,46.38684,6.9227705,46.3867981,6.9227335,46.3867471,6.9227232,46.3866982,6.9227291,46.3866574,6.9227098,46.3866135,6.9227085,46.386613",relation/3227065,Atterissage Parapente/Deltaplane de Rennaz,,yes,yes,landing,pitch,free_flying,grass,multipolygon,http://www.rnvl.ch/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MultiPolygon,"6.950635,46.4185435,6.9496139,46.4184182,6.9500679,46.4177953,6.9510103,46.4174428,6.9516091,46.4179167,6.9514123,46.418105,6.9508959,46.4182035,6.950635,46.4185435,6.9503224,46.4193112,6.9505247,46.4185974,6.9510017,46.4186292,6.9506606,46.419387,6.9503224,46.4193112",relation/3272081,Décollage Parapente et deltaplane de Sonchaux,,,yes,takeoff,,free_flying,grass,multipolygon,http://www.rnvl.ch/,meadow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"7.2358898,46.0588112,7.2359093,46.0588144,7.2372316,46.0591429,7.2372202,46.0591671,7.2372021,46.0592104,7.2371753,46.0592649,7.2371451,46.0593114,7.2371169,46.0593626,7.2370955,46.0593975,7.2370747,46.05943,7.2370532,46.0594668,7.2370271,46.0595022,7.2369761,46.0595692,7.2369318,46.0596273,7.2368976,46.0596622,7.2368795,46.0596813,7.2368722,46.0596971,7.2368661,46.0597064,7.2368581,46.0597167,7.23684,46.0597343,7.2368326,46.0597413,7.2368185,46.0597474,7.2367977,46.0597502,7.2367642,46.0597436,7.2367112,46.0597315,7.2364068,46.0596501,7.23626,46.0596064,7.2359877,46.0595343,7.2357363,46.059471,7.2355981,46.0594356,7.2355753,46.0594254,7.2355539,46.0594091,7.2355378,46.0593872,7.2355284,46.0593663,7.2355297,46.0593421,7.2355384,46.0593137,7.2355612,46.0592751,7.2356303,46.0591778,7.2357772,46.0589731,7.2358637,46.0588489,7.2358898,46.0588112",relation/7493106,atterrissage aile delta deltaplane parapente.,,yes,yes,landing,pitch,free_flying,,multipolygon,,,deltalab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"5.9747961,45.6834975,5.9747011,45.6834017,5.9746272,45.683363,5.974581,45.6833101,5.9745404,45.6832507,5.9744849,45.6831281,5.9747713,45.683061,5.9749062,45.6830235,5.9749727,45.683008,5.9750189,45.683101,5.9750669,45.6832107,5.9747961,45.6834975",relation/10059814,Décollage FFVL du Belvédère du Revard,,,yes,takeoff,pitch,free_flying,grass,multipolygon,,,,yes,1525,yes,"NW, W, SW",no,FFVL,Entre Ciel Et Terre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"5.5800425,45.0964486,5.5800425,45.0962729,5.5799652,45.0960669,5.5817591,45.0960608,5.5826174,45.0951459,5.5836817,45.0964001,5.5830294,45.0966243,5.5815905,45.0965453,5.5800425,45.0964486",way/24192215,Atterrissage FFVL du Belvédère,,,yes,landing,pitch,free_flying,grass,,www.lansenlair.org,,,yes,1000,yes,,no,FFVL,Lans En L'Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1491,Polygon,"5.59392,45.08955,5.5932604,45.0897955,5.593166,45.0892865,5.5940586,45.0891653,5.59392,45.08955",way/24192301,Décollage du Belvédère,73D028A,,yes,takeoff,pitch,free_flying,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"5.5884487,45.1251223,5.5884281,45.1241251,5.5882565,45.1234166,5.5902477,45.1233742,5.5904451,45.1235861,5.590531,45.1238768,5.5905739,45.1241796,5.5905052,45.1244037,5.5903164,45.1247186,5.5901276,45.1249911,5.5900332,45.1253363,5.5884487,45.1251223",way/24192604,Atterrissage FFVL de l'Aigle,38A020B,,yes,landing,pitch,free_flying,grass,,,,,yes,1000,yes,,no,FFVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"5.5210077,45.1284765,5.5229216,45.1301899,5.5224332,45.1306927,5.5207834,45.1301806,5.5209285,45.1297895,5.5203214,45.1296032,5.520625,45.1287745,5.5210077,45.1284765",way/24227607,Atterrissage FFVL des Farlaix,38A012A,,yes,landing,pitch,free_flying,grass,,,,,yes,1000,yes,,no,FFVL,,,https://intranet.ffvl.fr/sites_pratique/voir/953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"5.5165819,45.1175471,5.5164446,45.1169333,5.5164581,45.1165775,5.5172123,45.1169592,5.5171263,45.1175754,5.5165819,45.1175471",way/24227608,Décollage du Crêt,38D012A,,yes,,pitch,free_flying,,,,,,,1335,yes,"N,NE,E",,FFVL,,,https://intranet.ffvl.fr/sites_pratique/voir/953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"5.5975995,45.1183983,5.5973162,45.1185437,5.5970931,45.1183014,5.5973935,45.1181742,5.5975737,45.1183499,5.5975995,45.1183983",way/24231903,Décollage de l'Aigle,38D020B,,yes,takeoff,pitch,free_flying,,,,,,,1300,yes,,,FFVL,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"7.4517731,43.7577188,7.4528771,43.7584112,7.4535661,43.7586701,7.4542938,43.7588198,7.454876,43.7589017,7.4552192,43.75895,7.4560615,43.7590435,7.4571182,43.7590463,7.456987,43.7591871,7.4564986,43.7592801,7.4562469,43.7593903,7.4559118,43.7595586,7.4555451,43.7595839,7.4551159,43.7594971,7.4548169,43.7593783,7.4546703,43.7593425,7.4545796,43.7593193,7.4545183,43.759313,7.4538124,43.7592406,7.4533292,43.7590422,7.452757,43.7586716,7.4522162,43.758343,7.4519004,43.7579858,7.4516819,43.7577904,7.4517731,43.7577188",way/24648192,Plage de Golfe Bleu,,,yes,landing,,free_flying,,,,,,,,,,,,,,,,FFVL,beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.8663182,45.9268603,6.866422,45.9264569,6.866039,45.9264253,6.86582,45.9263962,6.8657375,45.9263145,6.8655121,45.9262709,6.8656029,45.92601,6.8655037,45.9260022,6.8652392,45.9261426,6.865143,45.9261926,6.8650997,45.9261983,6.8650593,45.9261942,6.8650317,45.9261863,6.8650187,45.9261737,6.8650192,45.9261406,6.8650837,45.9259069,6.8644447,45.925832,6.8643989,45.925736,6.8641905,45.9257843,6.8641587,45.9257278,6.8640657,45.9257464,6.8640165,45.9256536,6.8639487,45.9256711,6.863874,45.9255525,6.8638065,45.925396,6.8642399,45.9254978,6.8644211,45.925528,6.8646537,45.9255047,6.8648863,45.9255153,6.8664243,45.9257357,6.8667016,45.9256461,6.8667759,45.9256943,6.8668743,45.9257231,6.8669489,45.9257347,6.8670008,45.9258458,6.8670375,45.9258944,6.8671071,45.9259218,6.8672017,45.9259411,6.8672748,45.9259258,6.8674283,45.9258834,6.8675127,45.9259838,6.8675501,45.9260339,6.8676011,45.9261472,6.867726,45.9263671,6.8678699,45.9266206,6.8679019,45.9266769,6.8679857,45.9267425,6.8680528,45.926768,6.8681228,45.9267858,6.8690876,45.9279719,6.8687489,45.9280965,6.8684214,45.9280187,6.868384,45.9280784,6.8687035,45.9281602,6.8683279,45.9283327,6.8682106,45.9280801,6.8677883,45.928116,6.8678256,45.9282595,6.8674667,45.9282571,6.867362,45.9280066,6.867139,45.9280285,6.867046,45.9279229,6.8668811,45.9277479,6.8669727,45.9276408,6.8669956,45.9275622,6.8669406,45.9274709,6.866726,45.9271306,6.8667346,45.9269336,6.8663182,45.9268603",way/25553642,Prairie du Savoy,,,,landing,,free_flying,,,,meadow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"5.8073653,45.6019971,5.8067812,45.6019392,5.8070622,45.6014688,5.807586,45.6018541,5.8073653,45.6019971",way/25610651,Décollage FFVL de Provinces,,,yes,takeoff,pitch,free_flying,compacted,,http://lesailesdulac.free.fr/joomla/index.php?option=com_content&view=article&id=8&Itemid=10,,,,1135,yes,,no,,,,,,,,Décollage de l'Épine,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.0663334,45.3856284,6.0661858,45.3854137,6.0682672,45.3848447,6.0684147,45.3851518,6.0688573,45.3856039,6.06886,45.3858356,6.0687983,45.3859826,6.0677992,45.3864479,6.067645,45.3864629,6.0672292,45.3863376,6.0665211,45.3858563,6.0663924,45.385716,6.0663334,45.3856284",way/25942336,Atterissage FFVL de Malatrait,,,yes,landing,pitch,free_flying,grass,,,,"interdit de survoler le lac à basse altitude (retenue EDF = DANGER) NE JAMAIS DEPASSER LA DIGUE. En cas de vent fort, préférer poser à Saint Pierre d'Allevard (de l'autre côté du lac), le terrain est plus dégagé.",yes,496,yes,,no,FFVL,Les Coccin'ailes Du Pays D'allevard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"5.9465117,45.6269488,5.9462206,45.6270118,5.9459914,45.6267091,5.9459995,45.626639,5.9463528,45.6265994,5.9464459,45.6267486,5.9465117,45.6269488",way/26587569,Décollage FFVL de Vérel,73D018A,,yes,takeoff,pitch,free_flying,grass,,,,,yes,895,yes,,no,FFVL,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"5.9655297,45.6311868,5.9652907,45.6305909,5.965952,45.6304303,5.966981,45.6303181,5.9669887,45.630662,5.9663709,45.6307771,5.9660874,45.6308724,5.9658629,45.6310089,5.9655297,45.6311868",way/26587570,"Décollage FFVL ""le Sire S""",,no,yes,takeoff,pitch,free_flying,grass,,,,Favorable par régime de brise jusqu'en début d'après-midi et vent de secteur Sud à Sud Ouest. Attention par vent de Secteur Sud Est le décollage est sous le vent de l'arête qui mène à la croix de Nivolet.,yes,1500,yes,"S, SW",no,FFVL,Les Z'elephants Volants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"5.9311072,45.6102628,5.9313905,45.6089997,5.9320544,45.6090635,5.9317555,45.6103966,5.9311072,45.6102628",way/26587587,Atterrissage FFVL de Montagny,73A018A,,yes,landing,pitch,free_flying,grass,,,,,yes,305,yes,,no,FFVL,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.6943658,45.6881972,6.694503,45.6875552,6.6948734,45.6875935,6.6947019,45.6882212,6.6943658,45.6881972",way/26696255,Décollage du Cormet de Roselend,,,,,pitch,free_flying,,,,,,,,,,,,,,,,,heath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.5071595,43.9604647,6.5067759,43.959032,6.5081983,43.9584469,6.5093584,43.957896,6.5108127,43.9572373,6.5114004,43.9581175,6.5106694,43.958814,6.5104699,43.9588372,6.5076549,43.9602329,6.5074736,43.9603719,6.5071595,43.9604647",way/27001781,Atterrissage de Saint-André-les-Alpes,,,,landing,,free_flying,,,,grass,,,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.4795195,43.9788915,6.4795129,43.9781344,6.4799295,43.9781584,6.4799043,43.9788801,6.4795195,43.9788915",way/27001810,Décollage Chalvet Ouest,,,,takeoff,,free_flying,,,,,,,,,,,,,,,,,fell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"5.8408408,45.2655933,5.8409009,45.2655542,5.841149,45.2653421,5.8423777,45.2661727,5.8419243,45.2665081,5.8408408,45.2655933",way/27237240,Atterissage FFVL de Saint-Nazaire-les-Eymes,,,yes,landing,pitch,free_flying,grass,,,,Risque de gradiant,yes,459,yes,,no,FFVL,Club Des Hommes Volants Du Dauphine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.1177187,45.541682,6.1169052,45.5409202,6.1172796,45.5406298,6.1182797,45.5412109,6.1177187,45.541682",way/27237348,Atterrissage FFVL des Iles,73A015A,,yes,landing,pitch,free_flying,grass,,,,,yes,270,yes,,no,FFVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"6.1070432,45.3937381,6.1069474,45.3938063,6.106832,45.3937837,6.1066202,45.3938953,6.1063683,45.3937483,6.1064937,45.3934988,6.1070432,45.3937381",way/27237403,Décollage de Malatrait,,,,takeoff,pitch,free_flying,grass,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"5.8876016,45.3070535,5.887408,45.3067252,5.8880023,45.3065447,5.8881847,45.3068779,5.8876016,45.3070535",way/35093655,Décollage FFVL Nord,38D022A,,yes,takeoff,pitch,free_flying,,,,,,yes,950,yes,,no,FFVL,,,https://intranet.ffvl.fr/sites_pratique/voir/1255,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
