suid,id,ref_ffvl,nom,sous_nom,cp,ville,site_type,site_sous_type,pratiques,lat,lon,alt,acces,trajet_parcking,trajet_attero_deco,handi,orientation.x,vent_favo,vent_defavo,conditions_ideales,balise,webcam,signaletique,description.x,restrictions,reg_aerienne,dangers,numero_cross,date_modification,latitude,longitude,altitude,geometry,coordinates,@id,name,free_flying:hanggliding,free_flying:paragliding,free_flying:site,leisure,sport,surface,type,website,landuse,note,access,ele,free_flying:official,free_flying:site_orientation,lit,network,operator,ref,source,free_flying:tandem,free_flying:network,natural,alt_name,wheelchair,building,building:levels,free_flying:retail,free_flying:school,club,phone,free_flying:rigid,area,aircraft,contact:website,source:date,free_flying:guest-guidelines,free_flying:no-flight-time,description.y,intermittent,inscription,fixme,crop,free_flying:ground_handling,name:en,free_flying,free_flying:orientation,free_flying:club,orientation.y,covered,fee,indoor,source:website,aeroway,mapillary,aircraft:type,aircraft:type2,length,width,abandoned:leisure,official_name,local_ref,free_flying:shop,shop,opening_hours:signed,description:it,operator:website,tourism,addr:city,addr:housenumber,addr:postcode,addr:street,opening_hours,fixme2,board_type,check_date,information,communication:radio,frequency,height,man_made,tower:construction,tower:type,contact:webcam,display:digital,monitoring:weather,recording:automated,recording:remote,weather:anemometer,weather:thermometer,weather:wind_vane,amenity,email,fax,free_flying:repair,ref:FR:SIRET,contact:facebook
13180,73050,73A050B,SAINT FRANCOIS LONGCHAMP,EPIERRE - LES REMBLAIS,73220,EPIERRE,vol,Atterrissage,parapente;delta;0;0;0,45.4462,6.2905,373,"En venant de Chambéry, sortie Epierre, traversée du village direction st jean de Maurienne , se garer de préférence au parking du gymnase sur la droite à la sortie de Epierre .
latterrissage est situé sur la zone des Remblais 200m plus loin .",5,0,1,NA,NA,NA,atterrissage du matin afin d'éviter les brises qui peuvent être fortes au delà de 11hoo selon la saison .,NA,NA,0,Atterrissage servant aux vols Randos depuis les massifs de La Lauzière et  envers de Belledonne,"Respecter les clôtures et interdiction de poser dans les parcelles si présence de Moutons
",NA,"Présence d'une ligne Haute tension 20 000 Volts au Sud du terrain et d'une ligne longeant la route
voie ferrée et autoroute à l'ouest du terrain .",NA,2020-03-21 16:25:22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,70002,70D002A,ECHENOZ LA MELINE,Bois de Breuleux,70000,ECHENOZ LA MELINE,vol,Décollage,parapente;delta;0;0;0,47.6005,6.1283,363,NA,0,0,0,E,E,NA,NA,NA,NA,0,NA,"Un arrêté municipal pris en concertation avec la Ligue de protection des oiseaux et la Fédération de la chasse et de la faune sauvage, interdit toute activité sur le site du 15 février au 15 juin 2015 pour cause de nidification de faucons pèlerins.",NA,ras,NA,2020-01-28 17:46:03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,70002,70A002A,ECHENOZ LA MELINE,NA,70000,ECHENOZ LA MELINE,vol,Atterrissage,parapente;delta;0;0;0,47.6004,6.1311,277,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,.,NA,2020-01-24 06:55:57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,81001,81D001A,CORDES SAINT MARCEL CAMPES test,ST MARCEL DE CAMPES,81170,ST MARCEL DE CAMPES,vol,Décollage,parapente;delta;0;0;0,44.0638,1.9701,291,"A Cordes, prendre la route de Virac pour le décollage, au bout de la côte,chemin à gauche, prendre la route de Carnaux pour l'atterrissage.",0,0,0,N,N;NE;NO,E;SE;S;SO;O,"vent du nord, 28 km/h maxi à la balise.",http://www.balisemeteo.com/balise.php?idBalise=91,NA,0,"Ne pas voler par vent d'Ouest. Couloir aérien R46N, le couloir n'a jamais d'activité le week-end et jours fériés. Pour tous renseignements sur le traffic aérien (entre 10 h et 17 h) , appeler le n° vert gratuit 0800245466.",NA,"couloir aérien r46, activable en semaine",danger sur le champ derrière la haie. ne jamais reposer à cet endroit : forts rouleaux rabattants.,NA,2020-03-04 10:17:17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,81001,81A001A,CORDES SAINT MARCEL CAMPES,NA,81170,ST MARCEL DE CAMPES,vol,Atterrissage,parapente;delta;0;0;0,44.0661,1.9698,187,NA,0,0,0,NNE,N;NE;,NA,NA,http://www.balisemeteo.com/balise.php?idBalise=91,NA,0,NA,NA,NA,.,NA,2020-01-24 16:01:14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,77001,77P001A,LA BELLE IDEE,NA,77750,BASSEVELLE,vol,Plateforme de treuil,parapente;delta;0;0;0,48.9208,3.2917,195,"SITE GERE PAR LE CVL (05103) ET LE GIPS (05009).
12 km après La Ferté sous Jouarre, prendre à gauche dans ""La Belle Idée"" en direction de Bassevelle. Suivre les indications ""Centre de Vol Libre"".",0,0,0,TOUTES,N;NE;E;SE;S;SO;O;NO,NA,NA,NA,NA,0,Plafond de 1003 (800m sol),NA,NA,.,NA,2020-03-11 20:38:06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,39001,39D001B,LEZAT,Belvédère,39400,LEZAT,vol,Décollage,parapente;delta;0;0;0,46.5032,5.9368,899,"Depuis Morbier prendre la direction Tancua, les Mouillés (D26), puis tourner sur la D28 direction Château des Prés. A 1,5 Km après les Mouillés, tourner en direction du Belvédère sur un petit chemin. Le parking est en face du décollage.",0,10,1,"E,SE",SE;S,NA,NA,NA,NA,0,NA,NA,NA,Rouleaux par vent de Sud.,NA,2020-01-24 07:14:22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,39001,39A001A,LEZAT,NA,39400,LEZAT,vol,Atterrissage,parapente;delta;0;0;0,46.4983,5.9386,685,NA,0,0,0,"S,SSO,SO",S;SO,NA,NA,NA,NA,0,Atterrissage par vent de Sud parfois fort.,NA,NA,.,NA,2020-01-28 16:36:41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,39002,39D002A,NOIRMONT,Piste noire n° 1,39220,LES ROUSSES,vol,Décollage,parapente;delta;speed-riding,46.4872,6.1072,1395,"Aux Rousses, prendre la direction Bois d'Amont. Sur la RN, tourner à droite sur Le Manoir des Montagnes et garer la voiture. Monter à pied dans la piste Noire. Compter 30 à 45 mn de marche.",40,40,0,"N,NO",O;NO,NE;E;SE;S,Brise et vent de Ouest à Nord Ouest.,NA,NA,0,NA,NA,Situé sous la TMA de Genève. Altitude MAXIMUM : 300 mètres au dessus du relief soit 1900 mètres QNH.,"Epicéas de chaque côté. Sortie des sapins délicate par vent fort, notamment de Nord à Nord-Est",NA,2020-12-03 12:14:03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,39002,39D002B,NOIRMONT,Piste rouge n°2,39220,LES ROUSSES,vol,Décollage,parapente;delta,46.4804,6.1051,1429,"Aux Rousses, prendre la direction Bois d'Amont. Sur la RN tourner à droite sur Le Manoir des Montagnes et garer la voiture. Monter à pieds dans la piste Rouge. Compter 30 à 45 m de marche.",0,0,0,NNO,O;NO,NA,NA,NA,NA,0,Epicéas de chaque côté. Sortie des sapins délicate par vent fort. Situé sous la TMA de Genève. Altitude MAXIMUM : 300 mètres au dessus du relief soit 1900 mètres QNH.,NA,NA,.,NA,2020-12-03 12:14:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
